    p    n    -0.78235    -1.80574  -1
  0.10  5.00 -100.000 -100.000 -100.000
  0.20  5.00 -100.000  -77.203  -78.482
  0.40  5.00  -71.616  -40.631  -41.604
  0.70  5.00  -41.408  -24.441  -25.161
  1.00  5.00  -29.325  -17.678  -18.235
  1.50  5.00  -19.927  -12.128  -12.496
  2.00  5.00  -15.228   -9.246   -9.478
  3.00  5.00  -10.536   -6.469   -6.506
  5.00  5.00   -6.802   -4.079   -3.864
 10.00  5.00   -4.061   -1.726   -1.164
 30.00  5.00   -2.367    1.202    2.291
100.00  5.00   -0.485    4.455    6.130
  0.01  6.00 -100.000 -100.000 -100.000
  0.10  6.00 -100.000 -100.000 -100.000
  0.20  6.00 -100.000  -81.385  -82.665
  0.40  6.00  -71.628  -42.905  -43.878
  0.70  6.00  -41.420  -25.991  -26.711
  1.00  6.00  -29.336  -18.982  -19.539
  1.50  6.00  -19.937  -13.265  -13.633
  2.00  6.00  -15.238  -10.213  -10.444
  3.00  6.00  -10.542   -6.912   -6.948
  5.00  6.00   -6.806   -4.162   -3.946
 10.00  6.00   -4.062   -1.735   -1.173
 30.00  6.00   -2.368    1.202    2.291
100.00  6.00   -0.486    4.465    6.140
  0.01  7.00 -100.000 -100.000 -100.000
  0.10  7.00 -100.000 -100.000 -100.000
  0.20  7.00 -100.000  -93.930  -95.209
  0.40  7.00  -71.719  -49.222  -50.194
  0.70  7.00  -41.509  -29.674  -30.395
  1.00  7.00  -29.424  -21.645  -22.202
  1.50  7.00  -20.023  -15.176  -15.544
  2.00  7.00  -15.320  -11.778  -12.010
  3.00  7.00  -10.614   -8.126   -8.160
  5.00  7.00   -6.850   -4.774   -4.555
 10.00  7.00   -4.075   -1.824   -1.261
 30.00  7.00   -2.369    1.199    2.288
100.00  7.00   -0.473    4.558    6.231
  0.01  8.00 -100.000 -100.000 -100.000
  0.10  8.00 -100.000 -100.000 -100.000
  0.20  8.00 -100.000 -100.000 -100.000
  0.40  8.00  -72.484  -64.670  -65.642
  0.70  8.00  -42.265  -38.530  -39.250
  1.00  8.00  -30.166  -27.875  -28.426
  1.50  8.00  -20.733  -19.380  -19.716
  2.00  8.00  -15.992  -14.985  -15.161
  3.00  8.00  -11.203  -10.366  -10.341
  5.00  8.00   -7.284   -6.279   -6.035
 10.00  8.00   -4.246   -2.476   -1.912
 30.00  8.00   -2.379    1.168    2.256
100.00  8.00   -0.305    5.217    6.887
  0.01  9.00 -100.000 -100.000 -100.000
  0.10  9.00 -100.000 -100.000 -100.000
  0.20  9.00 -100.000 -100.000 -100.000
  0.40  9.00  -98.923  -99.124  -99.918
  0.70  9.00  -58.081  -58.231  -58.591
  1.00  9.00  -41.579  -41.679  -41.912
  1.50  9.00  -28.591  -28.606  -28.705
  2.00  9.00  -22.000  -21.929  -21.940
  3.00  9.00  -15.286  -15.041  -14.933
  5.00  9.00   -9.752   -9.172   -8.899
 10.00  9.00   -5.417   -4.096   -3.528
 30.00  9.00   -2.508    0.875    1.962
100.00  9.00    0.724    6.398    8.062
  0.01 10.00 -100.000 -100.000 -100.000
  0.10 10.00 -100.000 -100.000 -100.000
  0.20 10.00 -100.000 -100.000 -100.000
  0.40 10.00 -100.000 -100.000 -100.000
  0.70 10.00 -100.000 -100.000 -100.000
  1.00 10.00  -71.517  -71.617  -71.850
  1.50 10.00  -48.561  -48.576  -48.675
  2.00 10.00  -36.988  -36.917  -36.928
  3.00 10.00  -25.300  -25.054  -24.946
  5.00 10.00  -15.800  -15.221  -14.948
 10.00 10.00   -8.512   -7.216   -6.647
 30.00 10.00   -3.448   -0.329    0.756
100.00 10.00    2.179    7.323    8.982
  0.01 11.00 -100.000 -100.000 -100.000
  0.10 11.00 -100.000 -100.000 -100.000
  0.20 11.00 -100.000 -100.000 -100.000
  0.40 11.00 -100.000 -100.000 -100.000
  0.70 11.00 -100.000 -100.000 -100.000
  1.00 11.00 -100.000 -100.000 -100.000
  1.50 11.00  -91.628  -91.642  -91.741
  2.00 11.00  -69.294  -69.222  -69.233
  3.00 11.00  -46.846  -46.601  -46.493
  5.00 11.00  -28.747  -28.168  -27.895
